"GroupId","OpenDate","WorkingTimes"
FG,"20150611","[{""Begin"": ""21:00:00"", ""End"": ""23:30:00"", ""IsNight"": true, ""IsOpen"": true}, {""Begin"": ""09:00:00"", ""End"": ""10:15:00""}, {""Begin"": ""10:30:00"", ""End"": ""11:30:00""}, {""Begin"": ""13:30:00"", ""End"": ""15:00:00"", ""IsClose"": true}]"
ZC,"20150611","[{""Begin"": ""21:00:00"", ""End"": ""23:30:00"", ""IsNight"": true, ""IsOpen"": true}, {""Begin"": ""09:00:00"", ""End"": ""10:15:00""}, {""Begin"": ""10:30:00"", ""End"": ""11:30:00""}, {""Begin"": ""13:30:00"", ""End"": ""15:00:00"", ""IsClose"": true}]"
ME,"20141212","[{""Begin"": ""21:00:00"", ""End"": ""23:30:00"", ""IsNight"": true, ""IsOpen"": true}, {""Begin"": ""09:00:00"", ""End"": ""10:15:00""}, {""Begin"": ""10:30:00"", ""End"": ""11:30:00""}, {""Begin"": ""13:30:00"", ""End"": ""15:00:00"", ""IsClose"": true}]"
TC,"20150611","[{""Begin"": ""21:00:00"", ""End"": ""23:30:00"", ""IsNight"": true, ""IsOpen"": true}, {""Begin"": ""09:00:00"", ""End"": ""10:15:00""}, {""Begin"": ""10:30:00"", ""End"": ""11:30:00""}, {""Begin"": ""13:30:00"", ""End"": ""15:00:00"", ""IsClose"": true}]"
m_o,"20170331","[{""Begin"": ""21:00:00"", ""End"": ""02:30:00"", ""IsNight"": true, ""IsOpen"": true}, {""Begin"": ""09:00:00"", ""End"": ""10:15:00""}, {""Begin"": ""10:30:00"", ""End"": ""11:30:00""}, {""Begin"": ""13:30:00"", ""End"": ""15:00:00"", ""IsClose"": true}]"
CY,"20170818","[{""Begin"": ""21:00:00"", ""End"": ""23:30:00"", ""IsNight"": true, ""IsOpen"": true}, {""Begin"": ""09:00:00"", ""End"": ""10:15:00""}, {""Begin"": ""10:30:00"", ""End"": ""11:30:00""}, {""Begin"": ""13:30:00"", ""End"": ""15:00:00"", ""IsClose"": true}]"
cu_o,"20180921","[{""Begin"": ""21:00:00"", ""End"": ""01:00:00"", ""IsNight"": true, ""IsOpen"": true}, {""Begin"": ""09:00:00"", ""End"": ""10:15:00""}, {""Begin"": ""10:30:00"", ""End"": ""11:30:00""}, {""Begin"": ""13:30:00"", ""End"": ""15:00:00"", ""IsClose"": true}]"
fu,"20180716","[{""Begin"": ""21:00:00"", ""End"": ""23:00:00"", ""IsNight"": true, ""IsOpen"": true}, {""Begin"": ""09:00:00"", ""End"": ""10:15:00""}, {""Begin"": ""10:30:00"", ""End"": ""11:30:00""}, {""Begin"": ""13:30:00"", ""End"": ""15:00:00"", ""IsClose"": true}]"
sp,"20181127","[{""Begin"": ""21:00:00"", ""End"": ""23:00:00"", ""IsNight"": true, ""IsOpen"": true}, {""Begin"": ""09:00:00"", ""End"": ""10:15:00""}, {""Begin"": ""10:30:00"", ""End"": ""11:30:00""}, {""Begin"": ""13:30:00"", ""End"": ""15:00:00"", ""IsClose"": true}]"
sc,"20180326","[{""Begin"": ""21:00:00"", ""End"": ""02:30:00"", ""IsNight"": true, ""IsOpen"": true}, {""Begin"": ""09:00:00"", ""End"": ""10:15:00""}, {""Begin"": ""10:30:00"", ""End"": ""11:30:00""}, {""Begin"": ""13:30:00"", ""End"": ""15:00:00"", ""IsClose"": true}]"
